timestamp,temperature_c,pressure_hpa,wind_speed_ms,wind_dir_deg,relative_humidity_pct
2017-01-06 00:00:00,,,,,
2017-01-06 03:00:00,,,,,
2017-01-06 06:00:00,,,,,
2017-01-06 09:00:00,,,,,
2017-01-06 12:00:00,,,,,
2017-01-06 15:00:00,,584.0,1.7,3.0,64.0
2017-01-06 18:00:00,,585.0,1.6,8.0,66.0
2017-01-06 21:00:00,,,,,
2017-01-07 00:00:00,,586.0,1.3,349.0,62.0
2017-01-07 03:00:00,,587.0,0.3,39.0,64.0
2017-01-07 06:00:00,,587.0,2.4,55.0,63.0
2017-01-07 09:00:00,-28.6,588.0,3.7,2.0,64.0
2017-01-07 12:00:00,,588.0,1.9,3.0,62.0
2017-01-07 15:00:00,,588.0,1.3,20.0,65.0
2017-01-07 18:00:00,,589.0,1.9,0.0,65.0
2017-01-07 21:00:00,,589.0,2.1,346.0,64.0
2017-01-08 00:00:00,,589.0,1.4,352.0,63.0
2017-01-08 03:00:00,,589.0,0.7,342.0,63.0
2017-01-08 06:00:00,,589.0,1.6,351.0,64.0
2017-01-08 09:00:00,-28.9,589.0,2.0,333.0,64.0
2017-01-08 12:00:00,,,,,
2017-01-08 15:00:00,,590.0,0.7,53.0,63.0
2017-01-08 18:00:00,,590.0,2.1,41.0,67.0
2017-01-08 21:00:00,-36.9,591.0,2.6,53.0,62.0
2017-01-09 00:00:00,-35.8,591.0,3.1,73.0,62.0
2017-01-09 03:00:00,-33.9,591.0,4.6,56.0,63.0
2017-01-09 06:00:00,-31.5,591.0,4.4,55.0,65.0
2017-01-09 09:00:00,,,,,
2017-01-09 12:00:00,-29.1,591.0,4.3,54.0,65.0
2017-01-09 15:00:00,-30.4,592.0,3.0,60.0,65.0
2017-01-09 18:00:00,,592.0,2.4,26.0,65.0
2017-01-09 21:00:00,-34.4,592.0,2.9,23.0,65.0
2017-01-10 00:00:00,-32.8,,2.4,19.0,66.0
2017-01-10 03:00:00,-30.7,591.0,2.8,12.0,66.0
2017-01-10 06:00:00,,591.0,3.2,5.0,67.0
2017-01-10 09:00:00,,,,,
2017-01-10 12:00:00,-25.0,591.0,2.0,30.0,68.0
2017-01-10 15:00:00,,591.0,1.8,92.0,69.0
2017-01-10 18:00:00,,591.0,2.0,21.0,67.0
2017-01-10 21:00:00,,591.0,3.0,344.0,66.0
2017-01-11 00:00:00,-30.5,591.0,2.8,317.0,68.0
2017-01-11 03:00:00,,591.0,1.2,344.0,64.0
2017-01-11 06:00:00,,592.0,1.9,352.0,65.0
2017-01-11 09:00:00,-27.1,592.0,3.0,344.0,66.0
2017-01-11 12:00:00,,,,,
2017-01-11 15:00:00,,593.0,0.9,128.0,66.0
2017-01-11 18:00:00,,593.0,3.3,20.0,72.0
2017-01-11 21:00:00,,594.0,3.3,50.0,68.0
2017-01-12 00:00:00,-29.9,594.0,3.4,38.0,68.0
2017-01-12 03:00:00,-27.8,594.0,3.0,37.0,66.0
2017-01-12 06:00:00,-26.2,594.0,3.0,0.0,66.0
2017-01-12 09:00:00,-25.1,595.0,3.1,354.0,67.0
2017-01-12 12:00:00,,595.0,1.6,40.0,66.0
2017-01-12 15:00:00,-28.9,595.0,2.7,42.0,69.0
2017-01-12 18:00:00,,594.0,2.7,52.0,69.0
2017-01-12 21:00:00,-29.8,594.0,3.0,59.0,69.0
2017-01-13 00:00:00,-29.1,593.0,2.3,53.0,67.0
2017-01-13 03:00:00,-27.3,592.0,3.3,54.0,66.0
2017-01-13 06:00:00,-25.9,592.0,3.4,45.0,64.0
2017-01-13 09:00:00,-25.5,591.0,2.7,51.0,65.0
2017-01-13 12:00:00,,591.0,1.7,52.0,64.0
2017-01-13 15:00:00,,591.0,1.4,42.0,67.0
2017-01-13 18:00:00,,591.0,2.2,16.0,72.0
2017-01-13 21:00:00,,590.0,1.9,6.0,69.0
2017-01-14 00:00:00,-32.2,591.0,2.2,343.0,65.0
2017-01-14 03:00:00,-33.3,591.0,3.6,340.0,63.0
2017-01-14 06:00:00,-29.7,591.0,2.7,310.0,65.0
2017-01-14 09:00:00,,591.0,1.9,264.0,67.0
2017-01-14 12:00:00,,591.0,1.3,153.0,67.0
2017-01-14 15:00:00,,591.0,0.8,94.0,65.0
2017-01-14 18:00:00,,591.0,0.7,125.0,64.0
2017-01-14 21:00:00,,591.0,2.7,160.0,65.0
2017-01-15 00:00:00,-36.2,590.0,2.3,131.0,63.0
2017-01-15 03:00:00,-34.9,590.0,2.6,106.0,63.0
2017-01-15 06:00:00,-31.5,590.0,3.0,52.0,65.0
2017-01-15 09:00:00,,590.0,2.7,28.0,67.0
2017-01-15 12:00:00,,590.0,1.8,344.0,68.0
2017-01-15 15:00:00,-31.9,589.0,2.2,337.0,65.0
2017-01-15 18:00:00,,589.0,2.7,335.0,64.0
2017-01-15 21:00:00,-35.8,589.0,2.1,327.0,63.0
2017-01-16 00:00:00,,588.0,0.3,309.0,67.0
2017-01-16 03:00:00,,588.0,0.0,311.0,41.0
2017-01-16 06:00:00,,588.0,1.2,140.0,64.0
2017-01-16 09:00:00,,588.0,2.6,127.0,65.0
2017-01-16 12:00:00,-33.0,588.0,3.6,132.0,65.0
2017-01-16 15:00:00,-35.9,588.0,4.3,134.0,65.0
2017-01-16 18:00:00,,589.0,4.7,130.0,63.0
2017-01-16 21:00:00,,589.0,5.1,133.0,61.0
2017-01-17 00:00:00,-40.7,589.0,5.7,135.0,60.0
2017-01-17 03:00:00,-38.1,589.0,7.2,129.0,61.0
2017-01-17 06:00:00,,589.0,7.8,115.0,62.0
2017-01-17 09:00:00,-34.0,589.0,8.2,116.0,63.0
2017-01-17 12:00:00,-34.2,589.0,6.9,126.0,63.0
2017-01-17 15:00:00,-36.4,588.0,6.0,127.0,62.0
2017-01-17 18:00:00,,588.0,4.6,132.0,62.0
2017-01-17 21:00:00,-41.3,588.0,4.4,134.0,61.0
2017-01-18 00:00:00,-41.2,588.0,4.7,129.0,60.0
