timestamp,temperature_c,pressure_hpa,wind_speed_ms,wind_dir_deg,relative_humidity_pct
2012-12-24 00:00:00,,,,,
2012-12-24 03:00:00,,,,,
2012-12-24 06:00:00,,,,,
2012-12-24 09:00:00,,,,,
2012-12-24 12:00:00,-18.0,716.0,,53.0,64.0
2012-12-24 15:00:00,-18.8,716.0,4.2,75.0,67.0
2012-12-24 18:00:00,-21.6,717.0,6.4,82.0,70.0
2012-12-24 21:00:00,-22.0,719.0,7.8,70.0,71.0
2012-12-25 00:00:00,-19.9,720.0,8.4,68.0,73.0
2012-12-25 03:00:00,-17.9,720.0,7.9,54.0,71.0
2012-12-25 06:00:00,-17.1,721.0,8.8,49.0,65.0
2012-12-25 09:00:00,-16.1,721.0,7.0,57.0,60.0
2012-12-25 12:00:00,-16.3,721.0,5.8,70.0,60.0
2012-12-25 15:00:00,-19.5,720.0,3.2,101.0,67.0
2012-12-25 18:00:00,,719.0,4.9,90.0,67.0
2012-12-25 21:00:00,,718.0,5.7,87.0,64.0
2012-12-26 00:00:00,-23.9,716.0,6.8,84.0,61.0
2012-12-26 03:00:00,,715.0,7.0,73.0,61.0
2012-12-26 06:00:00,,714.0,7.4,80.0,57.0
2012-12-26 09:00:00,-17.5,712.0,8.3,77.0,57.0
2012-12-26 12:00:00,-17.6,711.0,7.1,74.0,62.0
2012-12-26 15:00:00,-19.9,710.0,5.4,81.0,67.0
2012-12-26 18:00:00,,710.0,7.2,74.0,69.0
2012-12-26 21:00:00,-23.0,710.0,7.0,63.0,70.0
2012-12-27 00:00:00,-22.1,710.0,4.7,80.0,69.0
2012-12-27 03:00:00,-19.8,710.0,9.6,65.0,72.0
2012-12-27 06:00:00,-18.9,710.0,,47.0,68.0
2012-12-27 09:00:00,-18.1,711.0,9.3,51.0,67.0
2012-12-27 12:00:00,-18.0,711.0,7.0,39.0,69.0
2012-12-27 15:00:00,-21.8,711.0,5.9,66.0,73.0
2012-12-27 18:00:00,,711.0,6.6,64.0,71.0
2012-12-27 21:00:00,-26.5,712.0,6.1,76.0,68.0
2012-12-28 00:00:00,-25.9,711.0,7.6,74.0,66.0
2012-12-28 03:00:00,-23.2,711.0,9.8,62.0,66.0
2012-12-28 06:00:00,-22.2,711.0,9.6,61.0,63.0
2012-12-28 09:00:00,-21.0,711.0,7.5,52.0,62.0
2012-12-28 12:00:00,-20.2,711.0,6.7,57.0,62.0
2012-12-28 15:00:00,-22.3,711.0,3.3,76.0,67.0
2012-12-28 18:00:00,,711.0,4.5,82.0,67.0
2012-12-28 21:00:00,,711.0,5.4,83.0,66.0
2012-12-29 00:00:00,-27.2,712.0,5.8,79.0,63.0
2012-12-29 03:00:00,-23.8,712.0,5.6,78.0,62.0
2012-12-29 06:00:00,,712.0,6.2,64.0,57.0
2012-12-29 09:00:00,-19.7,712.0,5.7,48.0,51.0
2012-12-29 12:00:00,-19.7,711.0,3.6,47.0,51.0
2012-12-29 15:00:00,,711.0,1.8,88.0,67.0
2012-12-29 18:00:00,,711.0,2.8,88.0,67.0
2012-12-29 21:00:00,,711.0,3.8,88.0,68.0
2012-12-30 00:00:00,-29.0,711.0,4.8,86.0,65.0
2012-12-30 03:00:00,,711.0,4.2,88.0,63.0
2012-12-30 06:00:00,,710.0,4.4,87.0,58.0
2012-12-30 09:00:00,-19.5,710.0,4.2,71.0,49.0
2012-12-30 12:00:00,-19.5,710.0,2.7,77.0,46.0
2012-12-30 15:00:00,-22.4,709.0,2.1,108.0,65.0
2012-12-30 18:00:00,,708.0,3.8,92.0,66.0
2012-12-30 21:00:00,,708.0,4.8,87.0,65.0
2012-12-31 00:00:00,-28.3,707.0,6.3,85.0,61.0
2012-12-31 03:00:00,-25.6,707.0,7.1,89.0,61.0
2012-12-31 06:00:00,,708.0,8.2,71.0,60.0
2012-12-31 09:00:00,-21.0,708.0,7.7,84.0,54.0
2012-12-31 12:00:00,-20.3,708.0,6.0,92.0,57.0
2012-12-31 15:00:00,-22.6,709.0,5.5,87.0,63.0
2012-12-31 18:00:00,,709.0,6.5,87.0,64.0
2012-12-31 21:00:00,,710.0,6.3,89.0,64.0
2013-01-01 00:00:00,-27.1,711.0,8.2,87.0,64.0
2013-01-01 03:00:00,-24.3,711.0,9.7,81.0,65.0
2013-01-01 06:00:00,,711.0,10.7,80.0,65.0
2013-01-01 09:00:00,-19.9,712.0,9.3,74.0,63.0
2013-01-01 12:00:00,-20.15,711.0,6.75,,60.0
2013-01-01 15:00:00,-21.9,711.0,5.2,96.0,64.0
2013-01-01 18:00:00,-23.8,711.0,6.0,95.0,68.0
2013-01-01 21:00:00,-24.1,710.0,7.0,97.0,72.0
2013-01-02 00:00:00,-24.4,710.0,10.4,72.0,71.0
2013-01-02 03:00:00,-21.6,709.0,11.4,68.0,72.0
2013-01-02 06:00:00,,708.0,7.9,53.0,70.0
2013-01-02 09:00:00,-16.9,708.0,,350.0,69.0
2013-01-02 12:00:00,-17.4,709.0,5.1,341.0,
2013-01-02 15:00:00,-18.2,709.0,2.0,319.0,73.0
2013-01-02 18:00:00,,709.0,1.0,0.0,73.0
2013-01-02 21:00:00,-18.3,710.0,2.9,2.0,72.0
2013-01-03 00:00:00,-17.4,711.0,2.3,5.0,73.0
2013-01-03 03:00:00,-16.6,712.0,3.4,350.0,70.0
2013-01-03 06:00:00,-15.2,713.0,3.0,325.0,65.0
2013-01-03 09:00:00,,714.5,1.65,,62.0
2013-01-03 12:00:00,-14.8,715.0,2.0,8.0,65.0
2013-01-03 15:00:00,,716.0,1.6,42.0,67.0
2013-01-03 18:00:00,,716.0,4.4,79.0,75.0
2013-01-03 21:00:00,,716.0,4.8,84.0,74.0
2013-01-04 00:00:00,-22.3,716.0,6.6,73.0,72.0
2013-01-04 03:00:00,,716.0,7.6,67.0,70.0
2013-01-04 06:00:00,,715.0,7.2,42.0,73.0
2013-01-04 09:00:00,-13.8,715.0,9.5,38.0,71.0
2013-01-04 12:00:00,-14.0,714.0,8.8,35.0,75.0
2013-01-04 15:00:00,-14.9,713.0,7.9,46.0,80.0
2013-01-04 18:00:00,-16.5,712.0,8.3,47.0,81.0
2013-01-04 21:00:00,-17.1,711.0,7.4,34.0,80.0
2013-01-05 00:00:00,-17.5,711.0,8.7,27.0,78.0
2013-01-05 03:00:00,-17.2,710.0,8.35,,72.5
2013-01-05 06:00:00,-16.8,710.0,8.5,20.0,72.0
2013-01-05 09:00:00,-15.7,710.0,5.7,22.0,70.0
2013-01-05 12:00:00,-15.6,710.0,,32.0,69.0
2013-01-05 15:00:00,-15.9,710.0,2.6,28.0,76.0
2013-01-05 18:00:00,,711.0,1.9,60.0,80.0
2013-01-05 21:00:00,,712.0,1.6,40.0,82.0
2013-01-06 00:00:00,-17.2,713.0,3.9,26.0,77.0
2013-01-06 03:00:00,-16.2,713.0,3.7,12.0,78.0
2013-01-06 06:00:00,-15.3,714.0,3.5,10.0,75.0
2013-01-06 09:00:00,-15.0,714.0,4.5,24.0,72.0
2013-01-06 12:00:00,-14.9,714.0,6.2,37.0,70.0
2013-01-06 15:00:00,-15.8,714.0,6.3,51.0,74.0
2013-01-06 18:00:00,-16.4,714.0,7.4,37.0,76.0
2013-01-06 21:00:00,-17.9,714.0,8.3,49.0,77.0
2013-01-07 00:00:00,-19.9,714.0,3.4,54.0,70.0
2013-01-07 03:00:00,-17.9,713.0,,57.0,71.0
2013-01-07 06:00:00,-15.4,713.0,,57.0,74.0
2013-01-07 09:00:00,-13.8,713.0,9.3,35.0,76.0
2013-01-07 12:00:00,-13.2,713.0,6.5,26.0,78.0
2013-01-07 15:00:00,-14.0,713.0,6.6,41.0,81.0
2013-01-07 18:00:00,-14.4,712.0,7.7,45.0,84.0
2013-01-07 21:00:00,-14.7,712.0,8.5,44.0,83.0
2013-01-08 00:00:00,-15.1,712.0,10.3,43.0,81.0
2013-01-08 03:00:00,-15.1,713.0,10.5,36.0,79.0
2013-01-08 06:00:00,-13.9,713.0,8.8,34.0,77.0
2013-01-08 09:00:00,-13.0,714.0,7.2,27.0,74.0
2013-01-08 12:00:00,-13.0,714.0,6.4,28.0,77.0
2013-01-08 15:00:00,-14.5,714.0,7.2,41.0,78.0
2013-01-08 18:00:00,-17.7,714.0,7.6,57.0,77.0
2013-01-08 21:00:00,-19.0,714.0,9.3,57.0,73.0
2013-01-09 00:00:00,-19.7,714.0,9.3,63.0,67.0
2013-01-09 03:00:00,-18.2,714.0,10.6,68.0,66.0
2013-01-09 06:00:00,-16.3,714.0,10.7,68.0,64.0
2013-01-09 09:00:00,-15.1,713.0,8.8,67.0,65.0
2013-01-09 12:00:00,-15.5,713.0,7.8,65.0,68.0
2013-01-09 15:00:00,-17.8,713.0,7.2,66.0,70.0
2013-01-09 18:00:00,,713.0,7.2,72.0,71.0
2013-01-09 21:00:00,,713.0,8.2,68.0,70.0
2013-01-10 00:00:00,-22.8,713.0,8.9,71.0,68.0
2013-01-10 03:00:00,-19.7,713.0,7.7,58.0,65.0
2013-01-10 06:00:00,,713.0,8.0,75.0,63.0
2013-01-10 09:00:00,-14.8,712.0,7.6,47.0,64.0
2013-01-10 12:00:00,-14.7,711.0,4.8,71.0,66.0
