timestamp,气温（℃）,气压（hPa）,风速（m/s）,相对湿度（%）,总云量（成）,低云量（成）,station
1985-01-01 12:00:00,2.8,990.5,4.0,88.0,9.0,9.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-01 18:00:00,7.0,990.5,4.0,64.0,9.0,8.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-02 00:00:00,2.4,990.5,4.0,93.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-02 06:00:00,4.0,990.5,4.0,93.5,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-02 12:00:00,5.6,990.5,4.0,94.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-02 18:00:00,5.9,990.5,4.0,92.0,10.0,9.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-03 00:00:00,6.0,990.5,4.0,89.0,10.0,9.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-03 06:00:00,5.6,990.5,4.0,89.0,10.0,9.5,Greatwall-MeteorologicalObservation-1985-2022
1985-01-03 12:00:00,5.2,990.5,4.0,89.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-03 18:00:00,5.8,990.9,4.0,89.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-04 00:00:00,3.8,994.3,4.0,98.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-04 06:00:00,2.3,990.95,4.0,98.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-04 12:00:00,0.8,987.6,4.0,98.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-04 18:00:00,0.3,990.6,4.0,94.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-05 00:00:00,1.2,998.6,4.0,94.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-05 06:00:00,1.7000000000000002,1002.85,4.0,88.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-05 12:00:00,2.2,1007.1,4.0,82.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-05 18:00:00,9.8,1006.9,4.0,55.0,9.0,5.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-06 00:00:00,5.4,999.0,4.0,80.0,9.9,9.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-06 06:00:00,3.35,995.35,4.0,88.0,9.95,9.5,Greatwall-MeteorologicalObservation-1985-2022
1985-01-06 12:00:00,1.3,991.7,4.0,96.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-06 18:00:00,0.0,992.9,4.0,98.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-07 00:00:00,-0.6,994.0,4.0,95.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
1985-01-07 06:00:00,-0.6,995.25,4.0,94.0,10.0,10.0,Greatwall-MeteorologicalObservation-1985-2022
