timestamp,air_temperature_c,relative_humidity,air_pressure_pa,wind_speed_ms,wind_direction_deg,solar_radiation_wm2,snow_surface_temperature_c,snow_mass_flux_kg_m2_s,snow_number_flux_m2_s,turbulence_intensity,friction_velocity_ms,ri_bulk,snow_density_kg_m3,snow_grain_temp_c,visibility_m,precip_rate_mm_h,wind_snow_coupling,threshold_exceedance,net_radiation_est,sensible_heat_flux_est,latent_heat_flux_est,size_bin_1_50_100_um_number_flux_m2_s,size_bin_1_50_100_um_mass_flux_kg_m2_s,size_bin_2_100_200_um_number_flux_m2_s,size_bin_2_100_200_um_mass_flux_kg_m2_s,size_bin_3_200_400_um_number_flux_m2_s,size_bin_3_200_400_um_mass_flux_kg_m2_s,size_bin_4_400_800_um_number_flux_m2_s,size_bin_4_400_800_um_mass_flux_kg_m2_s,velocity_bin_1_0_2_ms_number_flux_m2_s,velocity_bin_1_0_2_ms_mass_flux_kg_m2_s,velocity_bin_2_2_4_ms_number_flux_m2_s,velocity_bin_2_2_4_ms_mass_flux_kg_m2_s,velocity_bin_3_4_6_ms_number_flux_m2_s,velocity_bin_3_4_6_ms_mass_flux_kg_m2_s,velocity_bin_4_6_8_ms_number_flux_m2_s,velocity_bin_4_6_8_ms_mass_flux_kg_m2_s,wind_dir_sin,wind_dir_cos,stability_neutral,stability_unstable,is_missing_air_temperature_c,tsls_air_temperature_c,is_missing_relative_humidity,tsls_relative_humidity,is_missing_air_pressure_pa,tsls_air_pressure_pa,is_missing_wind_speed_ms,tsls_wind_speed_ms,is_missing_wind_direction_deg,tsls_wind_direction_deg,is_missing_solar_radiation_wm2,tsls_solar_radiation_wm2,is_missing_snow_surface_temperature_c,tsls_snow_surface_temperature_c,is_missing_snow_mass_flux_kg_m2_s,tsls_snow_mass_flux_kg_m2_s,is_missing_snow_number_flux_m2_s,tsls_snow_number_flux_m2_s,is_missing_turbulence_intensity,tsls_turbulence_intensity,is_missing_friction_velocity_ms,tsls_friction_velocity_ms,is_missing_ri_bulk,tsls_ri_bulk,is_missing_snow_density_kg_m3,tsls_snow_density_kg_m3,is_missing_snow_grain_temp_c,tsls_snow_grain_temp_c,is_missing_visibility_m,tsls_visibility_m,is_missing_precip_rate_mm_h,tsls_precip_rate_mm_h,is_missing_wind_snow_coupling,tsls_wind_snow_coupling,is_missing_threshold_exceedance,tsls_threshold_exceedance,is_missing_net_radiation_est,tsls_net_radiation_est,is_missing_sensible_heat_flux_est,tsls_sensible_heat_flux_est,is_missing_latent_heat_flux_est,tsls_latent_heat_flux_est,is_missing_size_bin_1_50_100_um_number_flux_m2_s,tsls_size_bin_1_50_100_um_number_flux_m2_s,is_missing_size_bin_1_50_100_um_mass_flux_kg_m2_s,tsls_size_bin_1_50_100_um_mass_flux_kg_m2_s,is_missing_size_bin_2_100_200_um_number_flux_m2_s,tsls_size_bin_2_100_200_um_number_flux_m2_s,is_missing_size_bin_2_100_200_um_mass_flux_kg_m2_s,tsls_size_bin_2_100_200_um_mass_flux_kg_m2_s,is_missing_size_bin_3_200_400_um_number_flux_m2_s,tsls_size_bin_3_200_400_um_number_flux_m2_s,is_missing_size_bin_3_200_400_um_mass_flux_kg_m2_s,tsls_size_bin_3_200_400_um_mass_flux_kg_m2_s,is_missing_size_bin_4_400_800_um_number_flux_m2_s,tsls_size_bin_4_400_800_um_number_flux_m2_s,is_missing_size_bin_4_400_800_um_mass_flux_kg_m2_s,tsls_size_bin_4_400_800_um_mass_flux_kg_m2_s,is_missing_velocity_bin_1_0_2_ms_number_flux_m2_s,tsls_velocity_bin_1_0_2_ms_number_flux_m2_s,is_missing_velocity_bin_1_0_2_ms_mass_flux_kg_m2_s,tsls_velocity_bin_1_0_2_ms_mass_flux_kg_m2_s,is_missing_velocity_bin_2_2_4_ms_number_flux_m2_s,tsls_velocity_bin_2_2_4_ms_number_flux_m2_s,is_missing_velocity_bin_2_2_4_ms_mass_flux_kg_m2_s,tsls_velocity_bin_2_2_4_ms_mass_flux_kg_m2_s,is_missing_velocity_bin_3_4_6_ms_number_flux_m2_s,tsls_velocity_bin_3_4_6_ms_number_flux_m2_s,is_missing_velocity_bin_3_4_6_ms_mass_flux_kg_m2_s,tsls_velocity_bin_3_4_6_ms_mass_flux_kg_m2_s,is_missing_velocity_bin_4_6_8_ms_number_flux_m2_s,tsls_velocity_bin_4_6_8_ms_number_flux_m2_s,is_missing_velocity_bin_4_6_8_ms_mass_flux_kg_m2_s,tsls_velocity_bin_4_6_8_ms_mass_flux_kg_m2_s,is_missing_wind_dir_sin,tsls_wind_dir_sin,is_missing_wind_dir_cos,tsls_wind_dir_cos,is_missing_stability_neutral,tsls_stability_neutral,is_missing_stability_unstable,tsls_stability_unstable
2026-02-03 12:32:23+00:00,-9.729966035065733,0.0,0.0,8.49830843342451,0.0,0.0,-11.717840079224668,0.0,1359.7013592212695,0.5269712916297756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.027228304228787e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.238043437210575,3.577801510768983e-07,0.0,0.0,505.1396883853732,0.0,0.0,0.0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-02-03 12:32:24+00:00,-9.724863267030331,0.0,0.0,8.50059652176729,0.0,0.0,-11.706742459517724,0.0,0.0,0.5590462652704994,0.0,-0.5105414125169428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0692134263891871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587152997300972e-05,0.0,0.0,576.333023821709,0.0,0.0,0.0,0.0,True,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
2026-02-03 12:32:25+00:00,-9.754530157579104,0.0,0.0,8.483152442813518,0.0,0.0,-11.69879862303049,0.0,0.0,0.6074268775893152,0.0,-0.4716715880162045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.581027012144478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6257967319532213e-08,0.0,0.0,14.951349038817153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0
2026-02-03 12:32:26+00:00,-9.749512189972092,0.0,0.0,8.513639544480043,0.0,7.171025398252646,-11.67660956917878,0.0,0.0,0.5436944005865147,0.0,-0.4699885173085537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14035368767817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091257255436244e-08,0.0,2.104538863531284e-08,12.696745571535756,1.2331389393240585e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0
2026-02-03 12:32:27+00:00,0.0,0.0,0.0,8.477974325718868,0.0,39.3095804409223,0.0,0.0,0.0,0.0,0.0,-0.201846310215945,0.0,0.0,0.0,0.0,0.0,0.0,7.51670630864561,0.0,0.0,0.0,0.0,27.382571967691877,0.0,0.0,0.0,0.8800626952448252,0.0,0.0,0.0,0.0,0.0,0.0,1.067631407266712e-07,0.0,4.569259816179419e-08,0.29561713948505036,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,3.0
2026-02-03 12:32:28+00:00,0.0,59.39565333476133,0.0,8.47758644013193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7948881255579965,0.0,-12.365609975887573,0.0,0.2174386036558513,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,11.999525044585017,6.450873195587266e-08,0.0,0.0,14.54348451509582,0.0,0.0,0.0,0.0,0.0,0.0,6.89360340170786e-08,0.0,2.325394888529992e-08,0.328139049286625,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,0.0,0.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,5.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,1.0,4.0
2026-02-03 12:32:29+00:00,0.0,59.04772984105004,0.0,8.521691481403082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.55960381532134,-12.245662984566732,1987.5450573183805,0.068000484561457,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,28.20165799066052,9.319291035525264e-09,0.0,0.0,10.932400214884598,0.0,0.0,0.0,0.0,0.0,0.0,1.803733600108757e-08,0.0,2.355349905830545e-08,0.46800490383394827,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,6.0,1.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,0.0,0.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,7.0,0.0,0.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,6.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,7.0,1.0,5.0
2026-02-03 12:32:30+00:00,0.0,59.11352769653681,69236.77677342591,8.517904356972172,0.0,0.0033757236565672,0.0,3.801017821918436e-05,0.0,0.0,0.0,0.0,309.25378029529867,-11.927878726131482,174.43647527983293,0.3061524764905729,0.0,0.0,-19.9976369934404,0.0,0.0,0.0,0.0,0.0,2.7912223147928164e-06,0.0,0.0,2889.0769872463325,0.0,0.0,0.0,0.0,0.0,0.0,8.047167615285556e-06,0.0,8.136580270882334e-06,0.048620506718778704,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,7.0,1.0,4.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,0.0,0.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,8.0,1.0,8.0,0.0,0.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,7.0,1.0,4.0,1.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,8.0,1.0,6.0
2026-02-03 12:32:31+00:00,0.0,59.40108717821947,69238.27606878142,8.581337434809006,0.0,0.0,0.0,5.556292200448156e-07,0.0,0.0,0.0,0.0,319.72023812112855,-11.096987891365462,1751.7966918278182,0.2479267298913087,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.4684795063720282e-08,24.487164605292325,0.0,52.71177794718935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1966665299329643,0.0,False,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,6.0,0.0,0.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,8.0,1.0,5.0,1.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,7.0
2026-02-03 12:32:32+00:00,0.0,59.644832257539655,69233.17571920283,8.5593859059676,0.0,0.0,0.0,1.3626269442169824e-05,0.0,0.0,0.0,0.0,312.55426547195816,-11.790067123281316,385.4648410677429,0.5168176838090902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.095719745698678e-06,836.7119683862728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.46451955426,0.0,0.0,0.0,0.0,0.0,False,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,9.0,1.0,6.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,9.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,8.0
