track,evidence_type,budget,seed,learned_policy,learned_loss,learned_rank,learned_switches_per_step,learned_always_on,learned_always_off,learned_mid_duty,learned_duty_pass,validation_selected_static,feasible_static_projected,round_robin,aoi,random,best_non_learned_policy,best_non_learned_loss,win_validation_selected_static,win_feasible_static_projected,win_round_robin,win_aoi,win_random,win_best_non_learned
base_no_warmup,split_train_eval,1.650000,41,custom_ppo,0.117561,3,,,,,,0.144944,0.144944,0.114766,0.117014,0.120753,round_robin,0.114766,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.650000,42,custom_ppo,0.139096,3,,,,,,0.139021,0.139021,0.142098,0.148903,0.151284,validation_selected_static,0.139021,False,False,True,True,True,False
base_no_warmup,split_train_eval,1.650000,43,custom_ppo,0.144079,3,,,,,,0.170547,0.170547,0.140304,0.139412,0.144655,aoi,0.139412,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.650000,44,custom_ppo,0.138422,2,0.164333,0,2,4,False,0.147252,0.165728,0.140848,0.134334,0.139709,aoi,0.134334,True,True,True,False,True,False
base_no_warmup,split_train_eval,1.650000,45,custom_ppo,0.130897,3,0.151595,1,3,4,False,0.160135,0.160135,0.127889,0.130124,0.133950,round_robin,0.127889,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.650000,46,custom_ppo,0.144127,3,0.234210,1,3,4,False,0.149141,0.149141,0.142940,0.140345,0.147501,aoi,0.140345,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.650000,47,custom_ppo,0.134698,3,0.170886,1,3,4,False,0.147923,0.159642,0.128052,0.134615,0.137054,round_robin,0.128052,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.650000,48,custom_ppo,0.122633,4,0.178659,1,3,4,False,0.128492,0.128492,0.118464,0.116799,0.120476,aoi,0.116799,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.650000,49,custom_ppo,0.120573,4,0.150822,1,3,4,False,0.124729,0.146684,0.117538,0.114951,0.117797,aoi,0.114951,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.650000,50,custom_ppo,0.130340,3,0.189687,1,3,4,False,0.133083,0.133083,0.129700,0.128121,0.132731,aoi,0.128121,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.700000,41,custom_ppo,0.123762,4,0.092463,1,3,4,False,0.134838,0.149129,0.115693,0.117138,0.119802,round_robin,0.115693,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.700000,42,custom_ppo,0.136204,1,0.079277,2,4,2,False,0.139857,0.139857,0.136816,0.142190,0.144240,round_robin,0.136816,True,True,True,True,True,True
base_no_warmup,split_train_eval,1.700000,43,custom_ppo,0.134192,2,0.149072,1,3,4,False,0.144226,0.161582,0.134523,0.133910,0.137173,aoi,0.133910,True,True,True,False,True,False
base_no_warmup,split_train_eval,1.700000,44,custom_ppo,0.133296,2,0.122823,1,3,4,False,0.156017,0.156017,0.134934,0.133179,0.137387,aoi,0.133179,True,True,True,False,True,False
base_no_warmup,split_train_eval,1.700000,45,custom_ppo,0.128260,3,0.149764,1,3,4,False,0.156249,0.156249,0.127610,0.127654,0.132243,round_robin,0.127610,True,True,False,False,True,False
base_no_warmup,split_train_eval,1.700000,46,custom_ppo,0.147182,4,0.133322,1,3,4,False,0.152275,0.152275,0.142220,0.141701,0.143311,aoi,0.141701,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.700000,47,custom_ppo,0.130925,2,0.175322,1,3,4,False,0.155689,0.155689,0.124321,0.133132,0.135756,round_robin,0.124321,True,True,False,True,True,False
base_no_warmup,split_train_eval,1.700000,48,custom_ppo,0.121979,4,0.159490,1,3,4,False,0.122815,0.122815,0.116968,0.117094,0.119079,round_robin,0.116968,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.700000,49,custom_ppo,0.122146,4,0.121561,1,3,4,False,0.152295,0.152295,0.116964,0.115626,0.119368,aoi,0.115626,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.700000,50,custom_ppo,0.125312,1,0.186432,1,3,4,False,0.133985,0.133985,0.127687,0.128991,0.131808,round_robin,0.127687,True,True,True,True,True,True
base_no_warmup,split_train_eval,1.750000,41,custom_ppo,0.126576,4,0.074516,1,3,2,False,0.144749,0.144749,0.115072,0.118588,0.121769,round_robin,0.115072,True,True,False,False,False,False
base_no_warmup,split_train_eval,1.750000,42,custom_ppo,0.147619,4,0.160549,1,3,4,False,0.146270,0.146270,0.147178,0.151523,0.154893,validation_selected_static,0.146270,False,False,False,True,True,False
base_no_warmup,split_train_eval,1.750000,43,custom_ppo,0.134082,1,0.155055,1,3,4,False,0.137653,0.160414,0.135500,0.135937,0.137130,round_robin,0.135500,True,True,True,True,True,True
base_no_warmup,split_train_eval,1.750000,44,custom_ppo,0.135730,1,0.109922,0,2,4,False,0.144583,0.144583,0.137522,0.138530,0.139246,round_robin,0.137522,True,True,True,True,True,True
base_no_warmup,split_train_eval,1.750000,45,custom_ppo,0.128146,2,0.136131,1,3,4,False,0.152035,0.152035,0.127908,0.131271,0.134278,round_robin,0.127908,True,True,False,True,True,False
base_no_warmup,split_train_eval,1.750000,46,custom_ppo,0.138905,2,0.157374,1,3,4,False,0.143341,0.143341,0.140678,0.137247,0.140573,aoi,0.137247,True,True,True,False,True,False
base_no_warmup,split_train_eval,1.750000,47,custom_ppo,0.128833,2,0.187408,1,3,4,False,0.151424,0.151424,0.124795,0.133289,0.135196,round_robin,0.124795,True,True,False,True,True,False
dqn_split_diagnostic,split_train_eval,1.650000,41,dqn,0.119214,3,0.121073,0,0,6,True,0.144944,0.144944,0.114766,0.113873,0.120726,aoi,0.113873,True,True,False,False,True,False
dqn_split_diagnostic,split_train_eval,1.650000,42,dqn,0.142205,5,0.137840,0,0,8,True,0.139021,0.139021,0.142098,0.141850,0.147752,validation_selected_static,0.139021,False,False,False,False,True,False
dqn_split_diagnostic,split_train_eval,1.650000,43,dqn,0.143438,3,0.152694,0,0,7,True,0.170547,0.170547,0.140304,0.139765,0.143859,aoi,0.139765,True,True,False,False,True,False
dqn_split_diagnostic,split_train_eval,1.700000,41,dqn,0.138140,5,0.165798,0,0,8,True,0.135098,0.153345,0.115753,0.117181,0.119830,round_robin,0.115753,False,True,False,False,False,False
dqn_split_diagnostic,split_train_eval,1.700000,42,dqn,0.138514,4,0.202670,0,0,8,True,0.138187,0.138187,0.136976,0.142273,0.144382,round_robin,0.136976,False,False,False,True,True,False
dqn_split_diagnostic,split_train_eval,1.700000,43,dqn,0.139785,4,0.233355,0,0,8,True,0.144332,0.167017,0.134607,0.134004,0.137280,aoi,0.134004,True,True,False,False,False,False
env_dwell12_replay,operational_replay,1.700000,41,custom_ppo,0.137015,2,0.035528,0,0,8,True,0.137017,0.146767,0.157172,0.139986,0.144837,duty_constrained_round_robin,0.132648,True,True,True,True,True,False
env_dwell12_replay,operational_replay,1.700000,42,custom_ppo,0.154247,3,0.029993,0,0,8,True,0.142457,0.142457,0.159633,0.169551,0.165395,validation_selected_static,0.142457,False,False,True,True,True,False
env_dwell12_replay,operational_replay,1.700000,43,custom_ppo,0.148015,2,0.038377,0,0,8,True,0.145974,0.164626,0.179799,0.152278,0.151860,validation_selected_static,0.145974,False,True,True,True,True,False
env_dwell6_replay,operational_replay,1.700000,41,custom_ppo,0.131539,5,0.070527,0,0,8,True,0.137017,0.146767,0.123785,0.129335,0.131011,round_robin,0.123785,True,True,False,False,False,False
env_dwell6_replay,operational_replay,1.700000,42,custom_ppo,0.150051,4,0.055022,0,0,8,True,0.142457,0.142457,0.149372,0.157534,0.160243,validation_selected_static,0.142457,False,False,False,True,True,False
env_dwell6_replay,operational_replay,1.700000,43,custom_ppo,0.148339,4,0.065644,0,0,8,True,0.145974,0.164626,0.141900,0.146533,0.148868,round_robin,0.141900,False,True,False,False,True,False
hard_duty_envdwell12_reduced,split_train_eval,1.700000,41,custom_ppo,0.132886,1,0.024377,0,0,8,True,0.137648,0.146423,0.158871,0.141682,0.146577,duty_constrained_round_robin,0.134288,True,True,True,True,True,True
hard_duty_envdwell12_reduced,split_train_eval,1.700000,42,custom_ppo,0.149620,3,0.026860,0,0,8,True,0.138138,0.138138,0.154632,0.166598,0.161948,validation_selected_static,0.138138,False,False,True,True,True,False
hard_duty_envdwell12_reduced,split_train_eval,1.700000,43,custom_ppo,0.140702,1,0.029383,0,0,8,True,0.144098,0.154343,0.168811,0.150172,0.150048,validation_selected_static,0.144098,True,True,True,True,True,True
hard_duty_reduced,split_train_eval,1.700000,41,custom_ppo,0.120744,7,0.346044,0,0,8,True,0.137017,0.146767,0.113377,0.117049,0.118891,round_robin,0.113377,True,True,False,False,False,False
hard_duty_reduced,split_train_eval,1.700000,42,custom_ppo,0.145135,4,0.273808,0,0,8,True,0.142457,0.142457,0.142606,0.147391,0.149006,validation_selected_static,0.142457,False,False,False,True,True,False
hard_duty_reduced,split_train_eval,1.700000,43,custom_ppo,0.137448,5,0.317353,0,0,8,True,0.145974,0.164626,0.134063,0.135024,0.137959,round_robin,0.134063,True,True,False,False,True,False
switch_limited_replay,operational_replay,1.700000,41,custom_ppo,0.120744,7,0.346044,0,0,8,True,0.137017,0.146767,0.113377,0.117049,0.118891,round_robin,0.113377,True,True,False,False,False,False
switch_limited_replay,operational_replay,1.700000,42,custom_ppo,0.145135,4,0.273808,0,0,8,True,0.142457,0.142457,0.142606,0.147391,0.149006,validation_selected_static,0.142457,False,False,False,True,True,False
