target,slice,mae,rmse,count,model,station_id
temperature_c,bottom,0.6760322172494467,2.5964487252675523,20180,naive_seasonal,Cape Hallett
temperature_c,top,0.6879175699577584,2.9288439922169918,19835,naive_seasonal,Cape Hallett
wind_speed_ms,bottom,1.6565129833982495,3.0982376462988532,2171,naive_seasonal,Cape Hallett
wind_speed_ms,top,0.3333967127274832,1.7501261029790622,18615,naive_seasonal,Cape Hallett
temperature_c,bottom,0.36647242712379274,1.7670074486198422,20180,naive_persistence,Cape Hallett
temperature_c,top,0.33929584631983967,1.9852953134935145,19835,naive_persistence,Cape Hallett
wind_speed_ms,bottom,1.1449977412662133,1.9065547925740454,2171,naive_persistence,Cape Hallett
wind_speed_ms,top,0.19699603896824253,1.1614941434710588,18615,naive_persistence,Cape Hallett
temperature_c,bottom,0.3633382203523105,1.6441843367570246,20180,arima,Cape Hallett
temperature_c,top,0.35044775828484276,1.8839724410475451,19835,arima,Cape Hallett
wind_speed_ms,bottom,1.2162479551829983,1.721281443319797,2171,arima,Cape Hallett
wind_speed_ms,top,0.19045082845916747,1.057614251658794,18615,arima,Cape Hallett
temperature_c,bottom,0.633623341077394,1.6650335963370144,20180,tcn,Cape Hallett
temperature_c,top,0.6405989036572043,1.7617334296207248,19835,tcn,Cape Hallett
wind_speed_ms,bottom,1.0496088255035338,1.334675485448592,2171,tcn,Cape Hallett
wind_speed_ms,top,0.2639001534124234,1.0641975803874957,18615,tcn,Cape Hallett
temperature_c,bottom,1.9616378277099915,19.432719610747927,20180,tabular_gbrt,Cape Hallett
temperature_c,top,0.99582059206047,6.500764375140099,19835,tabular_gbrt,Cape Hallett
wind_speed_ms,bottom,3.1508957995392763,17.125583200837394,2171,tabular_gbrt,Cape Hallett
wind_speed_ms,top,0.6556836002275853,7.122753932950063,18615,tabular_gbrt,Cape Hallett
temperature_c,bottom,0.6497996668946362,2.0716054499947756,20180,tft_pinn,Cape Hallett
temperature_c,top,0.6476226346229489,2.125872189001237,19835,tft_pinn,Cape Hallett
wind_speed_ms,bottom,1.1426025791862606,1.6745351523598417,2171,tft_pinn,Cape Hallett
wind_speed_ms,top,0.2762561530492821,1.1403860288346952,18615,tft_pinn,Cape Hallett
temperature_c,bottom,0.7362103248292021,2.2528257721218266,20180,tft,Cape Hallett
temperature_c,top,0.7009345866548254,2.2298577263445,19835,tft,Cape Hallett
wind_speed_ms,bottom,1.0249613281592125,1.353465417580838,2171,tft,Cape Hallett
wind_speed_ms,top,0.25577010685082363,1.2276488853169447,18615,tft,Cape Hallett
