target,slice,mae,rmse,count,model,station_id
temperature_c,bottom,5.685240733884065,7.341849471542154,1044,naive_seasonal,Kunlun
temperature_c,top,4.676908061179826,7.587544205154951,1044,naive_seasonal,Kunlun
wind_speed_ms,bottom,1.8991370651816504,2.4394946188084154,1074,naive_seasonal,Kunlun
wind_speed_ms,top,2.729146703770307,3.328363415675396,1073,naive_seasonal,Kunlun
temperature_c,bottom,2.90365540330655,4.3265819826380785,1044,naive_persistence,Kunlun
temperature_c,top,3.4856678630152382,5.696541130864043,1044,naive_persistence,Kunlun
wind_speed_ms,bottom,1.3096752268177763,1.7175359869780453,1074,naive_persistence,Kunlun
wind_speed_ms,top,1.746340587424378,2.2979004806728733,1073,naive_persistence,Kunlun
temperature_c,bottom,3.3312262807441084,4.700827001874429,1044,arima,Kunlun
temperature_c,top,3.6730933183167593,5.6847514328018045,1044,arima,Kunlun
wind_speed_ms,bottom,1.4824860285606802,1.7936107704869069,1074,arima,Kunlun
wind_speed_ms,top,1.8841372298042054,2.388237541208905,1073,arima,Kunlun
temperature_c,bottom,5.3107255104798465,6.099177592509535,1044,tcn,Kunlun
temperature_c,top,2.991481398344278,4.046936868222562,1044,tcn,Kunlun
wind_speed_ms,bottom,1.5248226163312042,1.7912718354576498,1074,tcn,Kunlun
wind_speed_ms,top,1.7513925188248274,2.2549900225277915,1073,tcn,Kunlun
temperature_c,bottom,6.3923868768893115,8.033324121593349,1044,tft_pinn,Kunlun
temperature_c,top,3.220107174030385,4.39728351829453,1044,tft_pinn,Kunlun
wind_speed_ms,bottom,1.718702759932164,2.0553542280628236,1074,tft_pinn,Kunlun
wind_speed_ms,top,1.9734584036772183,2.5068189732785764,1073,tft_pinn,Kunlun
temperature_c,bottom,6.210470816503024,8.244032283213336,1044,tft,Kunlun
temperature_c,top,2.665924566924984,3.866025970265093,1044,tft,Kunlun
wind_speed_ms,bottom,1.7070835461880363,2.036938059539034,1074,tft,Kunlun
wind_speed_ms,top,2.0184566346725714,2.498026646849482,1073,tft,Kunlun
