target,slice,mae,rmse,count,model,station_id
temperature_c,bottom,5.389329015113767,6.914208941964414,2007,naive_seasonal,Taishan
temperature_c,top,2.9366767270288396,3.870572223474704,1988,naive_seasonal,Taishan
wind_speed_ms,bottom,2.7784611553784857,3.488527547861882,2008,naive_seasonal,Taishan
wind_speed_ms,top,3.456146341463415,4.124860086318967,2050,naive_seasonal,Taishan
temperature_c,bottom,2.3199011792061115,3.4499923626722446,2007,naive_persistence,Taishan
temperature_c,top,2.3165643863179075,3.0757825756935198,1988,naive_persistence,Taishan
wind_speed_ms,bottom,1.889085325365206,2.4359111204929307,2008,naive_persistence,Taishan
wind_speed_ms,top,1.8491707317073172,2.4493045304589685,2050,naive_persistence,Taishan
temperature_c,bottom,2.6887051162203637,3.946321471945533,2007,arima,Taishan
temperature_c,top,2.1918812461509805,2.9733111287059746,1988,arima,Taishan
wind_speed_ms,bottom,2.222563794572399,2.727457976022196,2008,arima,Taishan
wind_speed_ms,top,1.9540482987487127,2.475998172627764,2050,arima,Taishan
temperature_c,bottom,2.5580234605248364,3.5070810983436886,2007,tcn,Taishan
temperature_c,top,1.9048044661189931,2.5320053732026593,1988,tcn,Taishan
wind_speed_ms,bottom,1.9784143397353096,2.4324019204525005,2008,tcn,Taishan
wind_speed_ms,top,1.5454316142654752,1.98433318327979,2050,tcn,Taishan
temperature_c,bottom,2.9809059597369085,4.133346710494243,2007,tft_pinn,Taishan
temperature_c,top,1.680008925324413,2.2073427072630727,1988,tft_pinn,Taishan
wind_speed_ms,bottom,2.0525901190933817,2.5823812330782117,2008,tft_pinn,Taishan
wind_speed_ms,top,1.7635031376579835,2.2768839246126316,2050,tft_pinn,Taishan
temperature_c,bottom,2.878214320128485,4.149386614485086,2007,tft,Taishan
temperature_c,top,1.5144186509632294,2.0659249068448204,1988,tft,Taishan
wind_speed_ms,bottom,1.9608784258655365,2.5102470234063046,2008,tft,Taishan
wind_speed_ms,top,1.9077907466316533,2.419377471169201,2050,tft,Taishan
