horizon,target,mae,rmse,r2,model,station_id
1,temperature_c,3.0287625051421725,4.334929710033952,0.7243759048931318,naive_seasonal,Zhongshan
1,wind_speed_ms,3.1775444905605545,4.213495534323038,-0.15850529461553742,naive_seasonal,Zhongshan
2,temperature_c,3.306695504894491,4.631912406195332,0.6853293609186344,naive_seasonal,Zhongshan
2,wind_speed_ms,3.3303273318494475,4.36750353161997,-0.24479795111971403,naive_seasonal,Zhongshan
4,temperature_c,3.9117793855196497,5.231293935929192,0.5986392132459257,naive_seasonal,Zhongshan
4,wind_speed_ms,3.711668319639175,4.781378927643654,-0.4918898137540204,naive_seasonal,Zhongshan
8,temperature_c,4.064331519371496,5.586617416416866,0.5421322992154013,naive_seasonal,Zhongshan
8,wind_speed_ms,3.622150385543365,4.694413780461477,-0.43781046953441227,naive_seasonal,Zhongshan
1,temperature_c,1.0184613536149414,1.4307004494104256,0.9699772487211089,naive_persistence,Zhongshan
1,wind_speed_ms,1.4660753403384879,1.9108427526118716,0.7617335764425842,naive_persistence,Zhongshan
2,temperature_c,1.7055570836032539,2.2941888473614456,0.9228041639951743,naive_persistence,Zhongshan
2,wind_speed_ms,2.179212301406232,2.84647770585955,0.471253009456032,naive_persistence,Zhongshan
4,temperature_c,2.573602693721361,3.434070616719595,0.8270441975032261,naive_persistence,Zhongshan
4,wind_speed_ms,2.9882893708132703,3.951505054480532,-0.01895617584127951,naive_persistence,Zhongshan
8,temperature_c,3.0306026200021265,4.3382542813654235,0.7238963458074643,naive_persistence,Zhongshan
8,wind_speed_ms,3.176734305375369,4.212986071442539,-0.1580277169249218,naive_persistence,Zhongshan
1,temperature_c,0.9202094915810001,1.3455685623799678,0.9734438737389529,arima,Zhongshan
1,wind_speed_ms,1.3845198614833831,1.7945136977367895,0.7898610768423331,arima,Zhongshan
2,temperature_c,1.5777594437749485,2.1541792546005167,0.9319388591105323,arima,Zhongshan
2,wind_speed_ms,2.010269469271114,2.5511740426306333,0.5752704181678858,arima,Zhongshan
4,temperature_c,2.5067480948445824,3.323256787563386,0.8380263031562494,arima,Zhongshan
4,wind_speed_ms,2.651863598170151,3.3808556051207215,0.25409474372143903,arima,Zhongshan
8,temperature_c,3.033647259907187,4.234969123204559,0.7368867961222668,arima,Zhongshan
8,wind_speed_ms,2.8346456009664314,3.5943816392494186,0.15707820786956672,arima,Zhongshan
1,temperature_c,1.0955960697625466,1.471520598721934,0.9682396153937147,tcn,Zhongshan
1,wind_speed_ms,1.1207545631617322,1.5458677703400399,0.84405996318153,tcn,Zhongshan
2,temperature_c,1.4308585786486867,1.924204241817569,0.945695242110644,tcn,Zhongshan
2,wind_speed_ms,1.6432737432685562,2.114488237692476,0.7082284903829127,tcn,Zhongshan
4,temperature_c,2.0624815291689154,2.8103968639741415,0.8841617473130945,tcn,Zhongshan
4,wind_speed_ms,2.2880423249054163,2.943849397075537,0.43446225077811973,tcn,Zhongshan
8,temperature_c,2.8106894173950128,3.8748331710330244,0.7797336454344499,tcn,Zhongshan
8,wind_speed_ms,2.7073423652238864,3.4277691457943518,0.23341196208625692,tcn,Zhongshan
1,temperature_c,1.071237311045932,1.508124674944393,0.9666398839665141,tft_pinn,Zhongshan
1,wind_speed_ms,1.2542270481997073,1.7337029173113245,0.803861745088152,tft_pinn,Zhongshan
2,temperature_c,1.4692526444390388,2.0203696699371587,0.9401316585668082,tft_pinn,Zhongshan
2,wind_speed_ms,1.7963687398592438,2.3582074453034116,0.637092162480282,tft_pinn,Zhongshan
4,temperature_c,2.232899634209647,3.0441477740998995,0.864091019295254,tft_pinn,Zhongshan
4,wind_speed_ms,2.5464902076414497,3.3116776644926857,0.2843073777748474,tft_pinn,Zhongshan
8,temperature_c,2.928675564994758,4.090281512990372,0.7545581899991949,tft_pinn,Zhongshan
8,wind_speed_ms,3.0001347609799995,3.855343690750344,0.030238122377010512,tft_pinn,Zhongshan
1,temperature_c,1.0052917765448495,1.4431573644586706,0.9694521646530307,tft,Zhongshan
1,wind_speed_ms,1.1903111472475365,1.6486702828610431,0.8226298363253107,tft,Zhongshan
2,temperature_c,1.4064446147308516,1.978837557326621,0.9425677494018001,tft,Zhongshan
2,wind_speed_ms,1.765618224704214,2.3278889539534497,0.6463636867717013,tft,Zhongshan
4,temperature_c,2.06833353227421,2.9466128680127395,0.8726605833962945,tft,Zhongshan
4,wind_speed_ms,2.5898634390387323,3.3882765347818595,0.2508166472562028,tft,Zhongshan
8,temperature_c,3.0049701450843798,4.2443015121159196,0.7357258997010563,tft,Zhongshan
8,wind_speed_ms,3.036569995766098,3.9256069826506805,-0.005431627397775696,tft,Zhongshan
