target,slice,mae,rmse,count,model,station_id
temperature_c,bottom,5.488475212064051,6.764705732427953,7504,naive_seasonal,Zhongshan
temperature_c,top,2.3769119362400914,3.5257092568287485,7470,naive_seasonal,Zhongshan
wind_speed_ms,bottom,3.4217453833605607,4.5564561717472385,7912,naive_seasonal,Zhongshan
wind_speed_ms,top,6.289896643534306,7.524821886820523,7480,naive_seasonal,Zhongshan
temperature_c,bottom,2.768417945531398,3.890403066141506,7504,naive_persistence,Zhongshan
temperature_c,top,1.8344571700140069,2.6684101480361093,7470,naive_persistence,Zhongshan
wind_speed_ms,bottom,2.1476550236968253,3.0565549232621563,7912,naive_persistence,Zhongshan
wind_speed_ms,top,3.888843812148466,5.22794285313913,7480,naive_persistence,Zhongshan
temperature_c,bottom,2.886663260903559,3.9962191781088774,7504,arima,Zhongshan
temperature_c,top,1.8915901084704247,2.7462664542555952,7470,arima,Zhongshan
wind_speed_ms,bottom,3.0633898801631303,3.5256264907239414,7912,arima,Zhongshan
wind_speed_ms,top,4.190923305426083,5.211720326048553,7480,arima,Zhongshan
temperature_c,bottom,3.1679111327814113,4.3241868698634445,7504,tcn,Zhongshan
temperature_c,top,1.9895563051382172,2.3775957888468335,7470,tcn,Zhongshan
wind_speed_ms,bottom,2.679634126446904,3.145027812518918,7912,tcn,Zhongshan
wind_speed_ms,top,3.634426210576626,4.658983113043876,7480,tcn,Zhongshan
temperature_c,bottom,3.253479607776688,4.401412193165679,7504,tft_pinn,Zhongshan
temperature_c,top,1.464586238617627,1.9647870239114502,7470,tft_pinn,Zhongshan
wind_speed_ms,bottom,2.7763822991814977,3.427678733374329,7912,tft_pinn,Zhongshan
wind_speed_ms,top,4.18118385518357,5.255794729330565,7480,tft_pinn,Zhongshan
temperature_c,bottom,3.1684382898907684,4.367639454165396,7504,tft,Zhongshan
temperature_c,top,1.1571256783821462,1.570952139872178,7470,tft,Zhongshan
wind_speed_ms,bottom,2.5979306604784185,3.369362408115059,7912,tft,Zhongshan
wind_speed_ms,top,3.983618489789248,5.089894886950694,7480,tft,Zhongshan
